2015,246,106103,106103,173 Lygon Street,Carlton,Tica-Tera's Pizza Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,22,"(-37.8016059775, 144.966476316)"
2015,246,106105,106105,177-183 Lygon Street,Carlton,Cafe Notturno,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8014437428, 144.966496711)"
2015,246,106105,106105,177-183 Lygon Street,Carlton,Cafe Notturno,4511,Cafes and Restaurants,Seats - Outdoor,64,"(-37.8014437428, 144.966496711)"
2015,246,106105,106105,177-183 Lygon Street,Carlton,Cafe Cavallino,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8014437428, 144.966496711)"
2015,246,106105,106105,177-183 Lygon Street,Carlton,Cafe Cavallino,4511,Cafes and Restaurants,Seats - Outdoor,48,"(-37.8014437428, 144.966496711)"
2015,246,106106,106106,185-187 Lygon Street,Carlton,Cafe Cavallino,4511,Cafes and Restaurants,Seats - Indoor,54,"(-37.8012884836, 144.966449582)"
2015,246,106106,106106,185-187 Lygon Street,Carlton,Cafe Cavallino,4511,Cafes and Restaurants,Seats - Outdoor,68,"(-37.8012884836, 144.966449582)"
2015,246,106107,106107,189 Lygon Street,Carlton,Buenos Aires Steakhouse,4511,Cafes and Restaurants,Seats - Indoor,40,"(-37.8011904024, 144.966488043)"
2015,246,106107,106107,189 Lygon Street,Carlton,Buenos Aires Steakhouse,4511,Cafes and Restaurants,Seats - Outdoor,30,"(-37.8011904024, 144.966488043)"
2015,246,106108,106108,191 Lygon Street,Carlton,Wang Fu Jing Street,4511,Cafes and Restaurants,Seats - Indoor,48,"(-37.8011422811, 144.966496738)"
2015,246,106108,106108,191 Lygon Street,Carlton,Wang Fu Jing Street,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8011422811, 144.966496738)"
2015,246,106110,106110,201-203 Lygon Street,Carlton,Borsari Ristorante,4511,Cafes and Restaurants,Seats - Indoor,70,"(-37.8008970658, 144.966672483)"
2015,246,106110,106110,201-203 Lygon Street,Carlton,Borsari Ristorante,4511,Cafes and Restaurants,Seats - Outdoor,58,"(-37.8008970658, 144.966672483)"
2015,246,106111,106111,197 Lygon Street,Carlton,Gelatissimo Carlton,4512,Takeaway Food Services,Seats - Outdoor,18,"(-37.8010173972, 144.96664988)"
2015,246,106112,106112,199 Lygon Street,Carlton,Seasons Provedore,4512,Takeaway Food Services,Seats - Indoor,10,"(-37.8009670404, 144.96665908)"
2015,246,106112,106112,199 Lygon Street,Carlton,Seasons Provedore,4512,Takeaway Food Services,Seats - Outdoor,18,"(-37.8009670404, 144.96665908)"
2015,206,106113,106113,205-207 Lygon Street,Carlton,Ma's Dumpling Den,4511,Cafes and Restaurants,Seats - Indoor,35,"(-37.8004916413, 144.966590203)"
2015,206,106113,106113,205-207 Lygon Street,Carlton,Ma's Dumpling Den,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8004916413, 144.966590203)"
2015,206,106114,106114,209 Lygon Street,Carlton,Il Cantuccio Restaurant,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8004318718, 144.966646389)"
2015,206,106114,106114,209 Lygon Street,Carlton,Il Cantuccio Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,20,"(-37.8004318718, 144.966646389)"
2015,206,106118,106118,219-221 Lygon Street,Carlton,Papa Gino's Pizza Restaurant,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8001897319, 144.96671726)"
2015,232,106956,106956,191 Nicholson Street,Carlton,Scopri Italian Food & Wine ,4511,Cafes and Restaurants,Seats - Indoor,60,"(-37.7956865685, 144.974922104)"
2015,230,106969,106969,237-239 Nicholson Street,Carlton,French Lettuce,4512,Takeaway Food Services,Seats - Indoor,12,"(-37.7943989384, 144.975134481)"
2015,230,106969,106969,237-239 Nicholson Street,Carlton,French Lettuce,4512,Takeaway Food Services,Seats - Outdoor,9,"(-37.7943989384, 144.975134481)"
2015,252,107540,107540,53-75 Pelham Street,Carlton,Michelino's Trattoria,4511,Cafes and Restaurants,Seats - Indoor,70,"(-37.8032428471, 144.967185782)"
2015,252,107540,107540,53-75 Pelham Street,Carlton,Michelino's Trattoria,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8032428471, 144.967185782)"
2015,239,107548,107548,222-224 Pelham Street,Carlton,Blue Print Eatery & Bar,4511,Cafes and Restaurants,Seats - Indoor,60,"(-37.8016953721, 144.958328704)"
2015,252,111061,106250,122 Lygon Street,Carlton,Boutique Bistro Bar,4511,Cafes and Restaurants,Seats - Indoor,30,"(-37.8044377836, 144.966699264)"
2015,252,111061,106250,122 Lygon Street,Carlton,Boutique Bistro Bar,4511,Cafes and Restaurants,Seats - Outdoor,8,"(-37.8044377836, 144.966699264)"
2015,224,108247,108247,114-116 Rathdowne Street,Carlton,Paris Go Bistro,4511,Cafes and Restaurants,Seats - Outdoor,4,"(-37.7969565166, 144.970884127)"
2015,239,107548,107548,222-224 Pelham Street,Carlton,Blue Print Eatery & Bar,4511,Cafes and Restaurants,Seats - Outdoor,12,"(-37.8016953721, 144.958328704)"
2015,240,107551,107551,196-198 Pelham Street,Carlton,Pearls Cafe & Sandwich Bar,4511,Cafes and Restaurants,Seats - Indoor,20,"(-37.8018571082, 144.959235467)"
2015,240,107551,107551,196-198 Pelham Street,Carlton,Pearls Cafe & Sandwich Bar,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8018571082, 144.959235467)"
2015,274,107698,107696,109 Bowen Crescent,Carlton,Princes Park Bowling Club,9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Seats - Indoor,60,"(-37.7850907893, 144.961397277)"
2015,274,107697,107696, Royal Parade,Carlton,Carlton Football Club Limited,9112,Sports and Physical Recreation Clubs and Sports Professionals,Seats - Indoor,70,"(-37.7850907893, 144.961397277)"
2015,262,107874,107874,255-259 Queensberry Street,Carlton,Red Capsicum,4511,Cafes and Restaurants,Seats - Indoor,40,"(-37.8044180951, 144.960038068)"
2015,262,107874,107874,255-259 Queensberry Street,Carlton,Red Capsicum,4511,Cafes and Restaurants,Seats - Outdoor,12,"(-37.8044180951, 144.960038068)"
2015,215,108197,108197,401 Rathdowne Street,Carlton,St Ann's On Rathdowne Street,4511,Cafes and Restaurants,Seats - Indoor,22,"(-37.7969216404, 144.970320839)"
